num_of_lic,bank_name,l_in_foreign_MOODYS,l_in_nat_MOODYS,MOODYS,s_in_foreign_MOODYS,s_in_nat_MOODYS,on_nat_MOODYS,fin_stab_MOODYS,dates_MOODYS,EXPERT_RA,EXPERT_RA_prognosis,EXPERT_RA_dates,NRA,NRA_prognosis,NRA_dates,AK&M,AK&M_prognosis,AK&M_dates
1046,Гефест,,,,,,,,,,,,,,,,,
1942,Глобэкс,,,,,,,,,,,,,,,,,18.11.2011
2982,Горбанк,,,,,,,,,,,,,,,7.0,1.0,31.10.2016
1184,ГринКомБанк,,,,,,,,,,,,,,,,,
256,Гута-Банк,,,,,,,,,,,19.06.2017,,,,,,30.03.2012
843,Дальневосточный Банк,6.0,6.0,1.0,0.0,0.0,,2.0,29.11.2016,12.0,1.0,13.09.2017,,,,,,
1972,Девон-Кредит,,,,,,,,,,,26.06.2017,,,,,,
3338,ДельтаКредит,9.0,10.0,1.0,0.0,0.0,,3.0,21.02.2017,,,,,,,,,
3061,Джей энд Ти Банк,,,,,,,,,12.0,1.0,07.06.2017,,,,,,
857,Долинск,,,,,,,,,,,,,,,,,07.06.2013
492,Донкомбанк,,,,,,,,,,,27.03.2017,,,,,,
2897,Евроазиатский Инвестиционный Банк,,,,,,,,,5.0,1.0,26.06.2017,,,,,,
2672,Еврокапитал-Альянс,,,,,,,,,8.0,1.0,22.10.2015,,,,,,
3161,Екатеринбург,,,,,,,,,,,,16.0,,22.01.2014,,,
1809,Ермак,,,,,,,,,15.0,1.0,13.08.2015,,,,,,
918,Запсибкомбанк,,,,,,,,,15.0,1.0,30.05.2017,,,,,,
817,Заречье,,,,,,,,,,,17.03.2017,,,,,,26.08.2014
1614,Заубер Банк,,,,,,,,,,,08.08.2016,,,,,,
574,Земкомбанк,,,,,,,,,,,15.08.2016,,,,,,
2900,Земский Банк,,,,,,,,,,,02.06.2017,,,,,,
3255,Зенит,8.0,8.0,0.0,0.0,0.0,,2.0,10.02.2017,,,,,,,,,
2495,ИНГ Банк,9.0,11.0,1.0,0.0,1.0,,2.0,21.02.2017,,,,,,,,,
2609,ИТ Банк,,,,,,,,,,,,,,,6.0,1.0,18.02.2016
1763,Иваново,,,,,,,,,,,08.02.2017,,,,,,
646,Ижкомбанк,,,,,,,,,7.0,1.0,10.08.2017,17.0,1.0,02.10.2015,7.0,1.0,27.10.2016
3010,Инвестсоцбанк,,,,,,,,,,,,,,,,,
2763,Инвестторгбанк,,,,-1.0,-1.0,,,28.01.2016,,,,,,10.12.2015,,,
600,Интерпрогрессбанк,,,,,,,,,,,13.11.2015,,,,,,
3266,Интерпромбанк,5.0,5.0,1.0,0.0,0.0,,2.0,18.03.2016,,,,17.0,1.0,26.12.2016,,,
2802,Йошкар-Ола,,,,,,,,,,,,,,,,,25.03.2016
2851,К2 Банк,,,,,,,,,,,05.09.2016,,,,,,
2148,КОР,,,,,,,,,,,28.01.2016,,,,,,
1752,КС Банк,,,,,,,,,8.0,1.0,19.06.2017,,,,,,
438,Камский Коммерческий Банк,,,,,,,,,10.0,1.0,07.06.2017,,,,,,
545,Камчаткомагропромбанк,,,,,,,,,,,05.07.2010,,,,,,
842,Кетовский Коммерческий Банк,,,,,,,,,,,13.08.2013,,,,,,
65,Кольцо Урала,,,,,,,,,,,15.05.2017,,,,,,
3184,Континенталь,,,,,,,,,,,15.11.2013,,,,,,
3300,Кошелев-Банк,,,,,,,,,9.0,0.0,03.07.2017,,,,,,
2271,Кранбанк,,,,,,,,,4.0,0.0,22.08.2017,,,,,,31.10.2012
1680,Креди Агриколь КИБ,,,,,,,,,,,,,,,,,
3311,Кредит Европа Банк,7.0,7.0,1.0,0.0,0.0,,2.0,24.01.2017,,,,,,,,,
2584,Кредит Урал Банк,,,,,,,,,16.0,1.0,14.06.2017,,,,,,
1165,Кредпромбанк,,,,,,,,,,,05.06.2017,,,,,,
2518,Кубань Кредит,5.0,5.0,1.0,0.0,0.0,,2.0,18.03.2016,,,,,,,,,
609,Кузнецкий,,,,,,,,,,,,,,,6.0,1.0,27.07.2016
735,Курскпромбанк,,,,,,,,,13.0,1.0,08.06.2017,,,02.03.2010,,,
3177,Лайтбанк,,,,,,,,,,,19.02.2016,,,,,,
