num_of_lic,bank_name,l_in_foreign_MOODYS,l_in_nat_MOODYS,MOODYS,s_in_foreign_MOODYS,s_in_nat_MOODYS,on_nat_MOODYS,fin_stab_MOODYS,dates_MOODYS,EXPERT_RA,EXPERT_RA_prognosis,EXPERT_RA_dates,NRA,NRA_prognosis,NRA_dates,AK&M,AK&M_prognosis,AK&M_dates
704.0,Русь,,,,,,,,,отозван,,08.04.2010,A-,стабильный,23.03.2016,,,
1637.0,СДМ-Банк,,,,,,,,,ruA,стабильный,24.04.2017,,,,,,
3245.0,СИАБ,,,,,,,,,ruBB,негативный,30.05.2017,A-,негативный,08.10.2015,,,
705.0,СКБ-Банк,отозван,отозван,отозван,отозван,отозван,отозван,отозван,21.07.2015,ruBB,стабильный,30.06.2017,,,,,,
3368.0,СМП Банк,отозван,отозван,отозван,отозван,отозван,отозван,отозван,29.04.2014,ruA-,стабильный,19.05.2017,AA,стабильный,25.07.2016,,,
330.0,Саратов,,,,,,,,,отозван,,17.05.2017,,,,,,
2048.0,Саровбизнесбанк,,,,,,,,,,,,,,,,,
1481.0,Сбербанк России,Ba2,Ba1,стабильный,NP,NP,,D,21.02.2017,,,,,,,,,
1470.0,Связь-Банк,отозван,отозван,-,отозван,отозван,отозван,отозван,16.11.2011,ruA,стабильный,06.07.2017,,,,,,
2816.0,Севергазбанк,,,,,,,,,ruBBB+,стабильный,25.05.2017,,,,,,
2398.0,Северный Кредит,,,,,,,,,отозван,,11.09.2017,отозван,,28.11.2011,,,
106.0,Сельмашбанк,,,,,,,,,ruBB-,стабильный,12.05.2017,,,,,,
1284.0,Сибирский Банк Реконструкции и Развития,,,,,,,,,отозван,,22.01.2016,,,,,,
2015.0,Сибсоцбанк,,,,,,,,,ruBBB,стабильный,14.04.2017,,,,,,
2664.0,Славия,,,,,,,,,отозван,,01.08.2016,,,,,,
1376.0,Снежинский,,,,,,,,,ruBBB,стабильный,25.04.2017,,,,,,
963.0,Совкомбанк,Ba3,Ba3,стабильный,NP,NP,,,13.01.2017,ruA-,стабильный,14.07.2017,,,,,,
1329.0,Солид Банк,,,,,,,,,,,,BBB+,стабильный,01.08.2016,,,
1555.0,Солидарность (Москва),,,,,,,,,,,,,,,A,стабильный,03.10.2016
554.0,Солидарность (Самара),Caa1,Caa1,стабильный,NP,NP,Ba2.ru,E,07.12.2012,ruCCC,негативный,26.05.2017,,,,,,
1132.0,Социнвестбанк,,,,,,,,,,,,,,,отозван,,18.05.2016
2307.0,Союз,,,,,,,,,,,,,,,,,
3236.0,Союзный,,,,,,,,,отозван,,26.09.2016,BBB+,стабильный,21.10.2016,,,
1288.0,Ставропольпромстройбанк,,,,,,,,,ruB+,стабильный,05.05.2017,,,,,,
2995.0,Стройлесбанк,,,,,,,,,отозван,,12.11.2015,,,,,,
588.0,Сургутнефтегазбанк,,,,,,,,,ruA+,стабильный,14.04.2017,отозван,,18.09.2015,,,
1249.0,Таатта,,,,,,,,,ruBB+,стабильный,25.05.2017,,,,,,
2304.0,Таврический,,,,,,,,,,,,,,,,,
1312.0,Тамбовкредитпромбанк,,,,,,,,,ruBB+,стабильный,23.05.2017,,,,,,
480.0,Татсоцбанк,,,,,,,,,ruBBB,стабильный,27.06.2017,,,,,,
2673.0,Тинькофф Банк,B1,B1,стабильный,NP,NP,,E+,22.02.2017,отозван,-,26.04.2011,,,,,,
2507.0,Тольяттихимбанк,,,,,,,,,отозван,-,17.03.2010,,,,,,
2210.0,Транскапиталбанк,B1,негативный,B1,NP,NP,,E+,02.06.2017,ruA,стабильный,31.05.2017,,,,,,
2807.0,Трансстройбанк,,,,,,,,,ruB,негативный,20.06.2017,,,,,,
3431.0,Тройка-Д Банк,,,,,,,,,отозван,негативный,04.07.2016,A-,стабильный,08.04.2016,,,
2997.0,Углеметбанк,,,,,,,,,ruBB,стабильный,25.05.2017,,,,B++,стабильный,15.02.2016
249.0,Урал ФД,B3,B3,позитивный,NP,NP,,E+,16.09.2016,ruBBB-,стабильный,27.04.2017,,,,,,
2519.0,Уралкапиталбанк,,,,,,,,,отозван,,29.05.2017,,,,,,
153.0,Уралприватбанк,,,,,,,,,отозван,-,30.07.2010,,,,,,
2964.0,Уралпромбанк,,,,,,,,,отозван,-,02.03.2011,,,,,,
429.0,Уральский Банк Реконструкции и Развития,,,,,,,,,,,,отозван,,23.12.2016,,,
596.0,Уссури,,,,,,,,,отозван,-,03.02.2010,,,,,,
2063.0,ФорБанк,,,,,,,,,ruBB-,стабильный,29.06.2017,,,,,,
1885.0,Фора-Банк,,,,,,,,,отозван,,28.04.2016,,,,,,
2208.0,Форштадт,,,,,,,,,,,,A,стабильный,28.10.2016,,,
1049.0,Хакасский Муниципальный Банк,,,,,,,,,ruBB,стабильный,04.09.2017,,,,,,
254.0,Хлынов,,,,,,,,,отозван,,10.05.2016,A-,стабильный,19.04.2016,,,
503.0,Холмск,,,,,,,,,отозван,,23.11.2015,,,,,,
316.0,Хоум Кредит Банк,отозван,отозван,отозван,отозван,отозван,,отозван,09.02.2017,ruBBB+,стабильный,04.07.2017,,,,,,
2225.0,Центр-инвест,Ba3,Ba3,стабильный,NP,NP,,E+,03.04.2017,,,,,,,,,
2670.0,Центрально-Европейский Банк,,,,,,,,,B++,негативный,14.07.2015,,,,,,
485.0,Челиндбанк,,,,,,,,,ruAA-,стабильный,10.05.2017,,,,,,
493.0,Челябинвестбанк,,,,,,,,,ruA+,,19.05.2017,,,,,,
1280.0,Чувашкредитпромбанк,,,,,,,,,отозван,,08.06.2017,,,,,,
1319.0,Экономбанк,,,,,,,,,C++,негативный,12.11.2015,,,,,,
2949.0,Эксперт Банк,,,,,,,,,ruB+,негативный,03.05.2017,отозван,,11.09.2014,,,
2998.0,Экспобанк,отозван,отозван,отозван,отозван,отозван,отозван,отозван,05.08.2011,отозван,,03.10.2016,,,,,,
3085.0,Экспресс-Волга,,,,,,,,,,,,A,,14.11.2011,,,
1399.0,Элита,,,,,,,,,,,,,,,B++,негативный,04.10.2016
67.0,Энергобанк,,,,,,,,,ruBB+,негативный,24.05.2017,,,,,,
52.0,Энергомашбанк,,,,,,,,,отозван,,30.05.2016,,,,,,
1307.0,Энерготрансбанк,,,,,,,,,ruBBB+,стабильный,16.05.2017,,,,,,
2772.0,Юг-Инвестбанк,,,,,,,,,ruBBB-,стабильный,26.05.2017,,,,,,
3467.0,Юнистрим,,,,,,,,,ruBBB+,стабильный,24.05.2017,,,,,,
3185.0,ЯР-Банк,,,,,,,,,,,,отозван,,25.11.2016,,,
